z,n,electronCapture(keV)
30,24,15538
12,25,-24923
13,25,-17604
14,25,-19169
15,25,-13806.0653
16,25,-14028.8125
17,25,-7194.0221
18,25,-7850.3002
19,25,-3108.2375
20,25,-4196.5868
21,25,1377.9665
22,25,-600.7694
23,25,4014.9467
24,25,2629.8047
25,25,7634.4776
26,25,8054.04
27,25,13988.1167
28,25,13028.5485
29,25,18038
30,25,17366
31,25,21550
12,26,-27831
13,26,-21286
14,26,-23154
15,26,-18180
16,26,-18729.5899
17,26,-11964.05
18,26,-12194.2869
19,26,-6844.8422
20,26,-7725.6802
21,26,-1992.177
22,26,-3988.8685
23,26,601.8555
24,26,-1038.124
25,26,3207.4893
26,26,2379.2912
27,26,8288.1073
28,26,8731.7558
29,26,13700.5585
30,26,13240
31,26,17140
32,26,15960
12,27,-27201
13,27,-20729
14,27,-21390
15,27,-15748
16,27,-17236
17,27,-11274.7373
18,27,-11508.2568
19,27,-5642.6746
20,27,-6632.6837
21,27,-279.2155
22,27,-2001.5652
23,27,2208.6274
24,27,752.3907
25,27,4708.1214
26,27,3742.8664
27,27,8244.5478
28,27,8694.035
29,27,15277.9163
30,27,14759
31,27,18759
32,27,17390
33,27,21890
13,28,-23510
14,28,-25150
15,28,-19289
16,28,-20314
17,28,-14922
18,28,-16036.3062
19,28,-10344.7078
20,28,-11940.3857
21,28,-5262.4445
22,28,-6894.747
23,28,-2470.1402
24,28,-3976.4763
25,28,597.2679
26,28,-696.3688
27,28,3451.4254
28,28,2132.8689
29,28,8774.9466
30,28,9368.9796
31,28,13456
32,28,12060
33,28,16590
14,29,-23940
15,29,-18200
16,29,-19301
17,29,-14375
18,29,-15787
19,29,-9929.555
20,29,-11688.5069
21,29,-4947.8903
22,29,-6482.6122
23,29,-1965.334
24,29,-3435.9426
25,29,1377.1325
26,29,231.1204
27,29,4566.6455
28,29,3261.697
29,29,8561.0204
30,29,9142.776
31,29,14584
32,29,13345
33,29,17720
34,29,16650
15,30,-21130
16,30,-22200
17,30,-16781
18,30,-18075
19,30,-12551
20,30,-13861.3774
21,30,-6918.0432
22,30,-8954.1372
23,30,-4970.2419
24,30,-7037.1118
25,30,-2602.2183
26,30,-3695.4973
27,30,836.3589
28,30,-381.5789
29,30,4798.3786
30,30,4170.7922
31,30,9214.2438
32,30,9847
33,30,13421
34,30,12673
35,30,16529
16,31,-21610
17,31,-16670
18,31,-17800
19,31,-12498
20,31,-13816.8529
21,31,-6257.2889
22,31,-8111.8785
23,31,-4154.4548
24,31,-5985.1877
25,31,-1626.5384
26,31,-2695.7375
27,31,2307.9785
28,31,1073.005
29,31,6127.981
30,31,5635.1565
31,31,9181.0666
32,31,9625.8787
33,31,14783
34,31,13917
35,31,18091
36,31,16978
17,32,-19652
18,32,-20930
19,32,-16026
20,32,-17128.6431
21,32,-9381.8471
22,32,-11305.8789
23,32,-7292.6673
24,32,-9101.727
25,32,-4961.2946
26,32,-6327.7027
27,32,-1564.8804
28,32,-2822.8058
29,32,2237.9663
30,32,1619.4548
31,32,5666.3294
32,32,4517.3237
33,32,9541.167
34,32,10365
35,32,14051
36,32,13165
18,33,-20780
19,33,-15758
20,33,-17091.9853
21,33,-9277.3463
22,33,-10990.3608
23,33,-6760.4051
24,33,-8089.9214
25,33,-3835.7607
26,33,-5139.629
27,33,-237.2633
28,33,-1323.8504
29,33,3958.8965
30,33,3366.4392
31,33,7171.1912
32,33,6179.2631
33,33,9581.957
34,33,10006.9381
35,33,15398
36,33,14119
18,34,-23739
19,34,-19086
20,34,-20010
21,34,-12191.7329
22,34,-13907.147
23,34,-10033.2148
24,34,-11561.224
25,34,-7409.3977
26,34,-8445.2283
27,34,-3977.6759
28,34,-5322.0404
29,34,-66.9768
30,34,-579.5996
31,34,3254.538
32,34,2116.6879
33,34,6086.4858
34,34,4705.0786
35,34,10175.2364
36,34,10325
37,34,14037
19,35,-17710
20,35,-19121
21,35,-12005.458
22,35,-13022.1957
23,35,-9512.9152
24,35,-10505.3137
25,35,-6059.4457
26,35,-7178.373
27,35,-2546.3427
28,35,-3661.3385
29,35,1674.6156
30,35,1351.6527
31,35,5175.5
32,35,4205.438
33,35,8084.2715
34,35,6677.4672
35,35,10504.2727
36,35,10175.2155
37,35,15611
38,35,14061
20,36,-21491
21,36,-14820
22,36,-15438.0995
23,36,-11731
24,36,-13821.0986
25,36,-9245.6277
26,36,-10354.092
27,36,-6215.9238
28,36,-7306.5921
29,36,-2137.8808
30,36,-2640.9396
31,36,1001.2201
32,36,107.2555
33,36,3988.4927
34,36,2404.0737
35,36,6644.0883
36,36,5121.1683
37,36,10540.1468
38,36,11089
39,36,14799
20,37,-20689
21,37,-13949
22,37,-15050
23,37,-10987.704
24,37,-12319.3807
25,37,-7671.3532
26,37,-8748.5685
27,37,-4822.8898
28,37,-5940.5911
29,37,-251.9958
30,37,-560.8226
31,37,2921.1
32,37,2227.1455
33,37,6228.063
34,37,4746.742
35,37,8806.4384
36,37,7094.0287
37,37,10415.828
38,37,10600
39,37,15998
40,37,14839
20,38,-23461
21,38,-16639
22,38,-17549
23,38,-13807
24,38,-15639.4478
25,38,-10708.7611
26,38,-11980.5117
27,38,-7967.3036
28,38,-9597.7522
29,38,-3576.8654
30,38,-4440.1115
31,38,-909.9134
32,38,-1651.8861
33,38,2013.4
34,38,361.6194
35,38,4581.6095
36,38,2956.3173
37,38,7104.9299
38,38,6231.4432
39,38,11365
40,38,11323
41,38,15120
20,39,-22940
21,39,-15550
22,39,-16870
23,39,-13013
24,39,-14438.1586
25,39,-9349.0622
26,39,-10250.5576
27,39,-6340.6944
28,39,-8420.9047
29,39,-2103.2205
30,39,-2681.6854
31,39,654.5979
32,39,232.4698
33,39,4356.1019
34,39,2725.3604
35,39,6925.0492
36,39,4783.388
37,39,8534.6172
38,39,7027.0566
39,39,11001
40,39,11033
41,39,16339
42,39,14900
21,40,-18510
22,40,-19510
23,40,-15880
24,40,-17320
25,40,-12657
26,40,-13317.4543
27,40,-9613.3678
28,40,-11821.2318
29,40,-5757.565
30,40,-6588.3675
31,40,-2810.3405
32,40,-3997.6263
33,40,344.7759
34,40,-1353.1467
35,40,3062.4694
36,40,1275.3724
37,40,5338.9516
38,40,3761.4779
39,40,7676.7291
40,40,6388
41,40,11164
42,40,11440
43,40,15020
22,41,-18930
23,41,-14840
24,41,-16200
25,41,-11610
26,41,-12128
27,41,-7746
28,41,-9593.2084
29,41,-3762.5123
30,41,-4617.6517
31,41,-442.7892
32,41,-1598.1889
33,41,2562.3871
34,41,864.7139
35,41,4962.881
36,41,3065.3663
37,41,7242.856
38,41,5323.114
39,41,9163.305
40,41,8188.5003
41,41,11804
42,41,11273
43,41,16470
44,41,15220
23,42,-17320
24,42,-18840
25,42,-14311
26,42,-14977
27,42,-11186
28,42,-12688.9049
29,42,-7304.8989
30,42,-8362.4883
31,42,-4105.9329
32,42,-5372.8249
33,42,-1177.2301
34,42,-2960.5756
35,42,1364.6792
36,42,-726.1153
37,42,3639.5114
38,42,1864.009
39,42,5815.2156
40,42,4450.0341
41,42,8298.7493
42,42,7024
43,42,11660
44,42,11800
24,43,-17526
25,43,-13230
26,43,-13839
27,43,-9635
28,43,-11036.3053
29,43,-5556.9381
30,43,-6605.9659
31,43,-2292.9057
32,43,-3396.3337
33,43,921.5145
34,43,-683.1627
35,43,3573.7836
36,43,1625.7778
37,43,5717.9785
38,43,3928.5695
39,43,7945.965
40,43,6294.0125
41,43,10227.8497
42,43,8769.9238
43,43,12541
44,43,11960
45,43,17479
25,44,-15730
26,44,-16440
27,44,-12440
28,44,-13926
29,44,-8879.2856
30,44,-9750.5077
31,44,-5901.7231
32,44,-6916.2501
33,44,-2703.4642
34,44,-4208.9819
35,44,-150.6016
36,44,-2004.4299
37,44,2239.4954
38,44,177.7503
39,44,4591.9435
40,44,2472.7471
41,44,6895.512
42,44,5023.1337
43,44,9194.7656
44,44,7331
45,44,12719
46,44,11924
25,45,-14810
26,45,-15310
27,45,-11050
28,45,-12139
29,45,-7306
30,45,-8088.6967
31,45,-3993.6241
32,45,-5220.5176
33,45,-954.9114
34,45,-2281.3849
35,45,1870.4623
36,45,280.8517
37,45,4403.9824
38,45,2273.0239
39,45,6755.1411
40,45,4666.9352
41,45,8834.9627
42,45,6989.6757
43,45,11016.2515
44,45,9025.4327
45,45,13250
46,45,12400
47,45,17249
26,46,-18080
27,46,-13980
28,46,-15160
29,46,-10230
30,46,-11321.3964
31,46,-7203.1495
32,46,-8157.9729
33,46,-4108.9014
34,46,-5544.8861
35,46,-1588.0317
36,46,-3093.1185
37,46,920.0039
38,46,-890.6058
39,46,3261.1584
40,46,1314.0763
41,46,5472.6536
42,46,3485.0021
43,46,7620.0875
44,46,5840.8951
45,46,9670
46,46,8220
47,46,12582
48,46,11962
26,47,-17289
27,47,-12881
28,47,-13680
29,47,-8791
30,47,-9926.375
31,47,-6220.8433
32,47,-6978.8242
33,47,-2679.2869
34,47,-3855.705
35,47,95.2184
36,47,-976.9222
37,47,2680.3708
38,47,1064.051
39,47,5240
40,47,3671.2405
41,47,7457.3187
42,47,5610.8105
43,47,9447.8181
44,47,7746.8246
45,47,11302.1155
46,47,10030
47,47,13700
48,47,12850
49,47,17482
27,48,-15861
28,48,-16530
29,48,-11513
30,48,-12693.768
31,48,-9116.0536
32,48,-10311.6397
33,48,-6241.6189
34,48,-7488.4677
35,48,-3673.178
36,48,-4656.251
37,48,-687
38,48,-1776.0972
39,48,1861.6894
40,48,670.1549
41,48,4252.2191
42,48,2489.0165
43,48,6222.1768
44,48,4624.4922
45,48,8204.9136
46,48,6805.3428
47,48,10060
48,48,8940
49,48,13344
27,49,-15070
28,49,-15440
29,49,-9910
30,49,-11024.2629
31,49,-7575.0553
32,49,-8663.7335
33,49,-4690.3523
34,49,-5671.2117
35,49,-1835.3638
36,49,-2904.8622
37,49,518.6734
38,49,-282.2749
39,49,3622.6
40,49,2833.2285
41,49,6111.0165
42,49,4429.1934
43,49,7882.8841
44,49,6389.3929
45,49,9675.9789
46,49,8374.7035
47,49,11671.7741
48,49,10170
49,49,13730
50,49,13400
28,50,-19560
29,50,-14248
30,50,-14969
31,50,-11428.2924
32,50,-12484.3497
33,50,-8692.8893
34,50,-10094.1624
35,50,-6161.8335
36,50,-7633.4147
37,50,-3888.2706
38,50,-5312.6243
39,50,-1502.1757
40,50,-2275.635
41,50,1257.5644
42,50,-355.2968
43,50,3200.9629
44,50,1574.7296
45,50,5117.1423
46,50,3504.3127
47,50,6901.8255
48,50,5430
49,50,8555
50,50,7030
29,51,-13440
30,51,-14289
31,51,-10616.7652
32,51,-11719.3136
33,51,-7705.1329
34,51,-9224.4929
35,51,-5129.086
36,51,-6817.8455
37,51,-2917.709
38,51,-4496.6278
39,51,-545.9674
40,51,-1544.271
41,51,2005.7335
42,51,405.7609
43,51,4255.7476
44,51,2563.5961
45,51,6392.6529
46,51,4791.7118
47,51,8254.5607
48,51,6781.3511
49,51,10016.4492
50,51,8239.277
51,51,13835
29,52,-15820
30,52,-16584
31,52,-12967
32,52,-14054.2989
33,52,-10065.7253
34,52,-11541.0256
35,52,-7465.5526
36,52,-8975.3282
37,52,-5176.6042
38,52,-6585.3721
39,52,-2699.3714
40,52,-3642.5294
41,52,-90.8123
42,52,-2045.0163
43,52,1690.5175
44,52,-258.7369
45,52,3523
46,52,1854.2331
47,52,5470.3785
48,52,3943.374
49,52,7291.5642
50,52,5760
51,52,10422
52,52,9668
29,53,-15010
30,53,-15900
31,53,-12264
32,53,-13379.3679
33,53,-9562.2229
34,53,-10808.2192
35,53,-6831.764
36,53,-8261.5231
37,53,-4406.3133
38,53,-5906.901
39,53,-1949.1237
40,53,-2894.8723
41,53,900.2684
42,53,-925.6009
43,53,2973.2411
44,53,1103.8722
45,53,5049.6529
46,53,3401.6603
47,53,7074.703
48,53,5497.9186
49,53,8964.8059
50,53,7540
51,53,12332
52,53,11203.9825
53,53,14920
30,54,-18110
31,54,-14644
32,54,-15640
33,54,-12028
34,54,-13434
35,54,-9281.873
36,54,-10958.9533
37,54,-6771.0748
38,54,-8094.9212
39,54,-4141.3118
40,54,-4917.8589
41,54,-1126.3312
42,54,-3192.059
43,54,320.264
44,54,-1792.6575
45,54,2040.8632
46,54,378.4577
47,54,4097.7606
48,54,2587
49,54,6019.2293
50,54,4555.6174
51,54,9322.5103
52,54,8253.5423
53,54,11227
54,54,10139
31,55,-13699
32,55,-14720
33,55,-10930
34,55,-12462
35,55,-8200.0834
36,55,-9866.6724
37,55,-6003.121
38,55,-7465.9434
39,55,-3505.7517
40,55,-4452.0031
41,55,-163.9704
42,55,-1941.9038
43,55,1683.7664
44,55,-297.5156
45,55,3636.2612
46,55,1980.2833
47,55,5656.2615
48,55,4151.0761
49,55,7785.7166
50,55,6302.5807
51,55,10880.3964
52,55,9996
53,55,13011
54,55,11502.9589
32,56,-17129
33,56,-13490
34,56,-14810
35,56,-10527.1716
36,56,-12536.5161
37,56,-8483.8977
38,56,-10282.9297
39,56,-6090.6528
40,56,-7108.8741
41,56,-2666.1038
42,56,-4591.3681
43,56,-1357.7631
44,56,-3206.4401
45,56,545.6846
46,56,-1119.647
47,56,2654.2778
48,56,1148.0787
49,56,4693.2673
50,56,3254.4521
51,56,7858.9903
52,56,6663.6646
53,56,10042.8941
54,56,8545.2075
55,56,11620
33,57,-12520
34,57,-14080
35,57,-9509
36,57,-11245.7673
37,57,-7215.0114
38,57,-9226.9772
39,57,-5411.738
40,57,-6821.2382
41,57,-2242.8547
42,57,-3634.7623
43,57,172.0776
44,57,-1613.52
45,57,2323.1187
46,57,574.7252
47,57,4278.6529
48,57,2736.9989
49,57,6524.0031
50,57,5054.4281
51,57,9624.6079
52,57,8535.5871
53,57,11761.9766
54,57,10434
55,57,13612
56,57,12055
34,58,-16344
35,58,-12030
36,58,-13698
37,58,-9731.3868
38,58,-11563.897
39,58,-7534.7807
40,58,-8993.0098
41,58,-4718.6736
42,58,-6401.7829
43,58,-2824.6411
44,58,-4533.5134
45,58,-764.5378
46,58,-2435.7789
47,58,1347.0564
48,58,-189.7534
49,58,3423.6586
50,58,2049.8794
51,58,6379.194
52,58,5219.924
53,58,8633.6922
54,58,7036.991
55,58,10439.0876
56,58,8780.4915
35,59,-10846
36,59,-12309
37,59,-8272.6693
38,59,-10061.5295
39,59,-5866.3591
40,59,-6972.9398
41,59,-3418.5098
42,59,-4628.4637
43,59,-1012.0557
44,59,-2663.2474
45,59,1136.4195
46,59,-566.6347
47,59,2965.1434
48,59,1416.3741
49,59,5132.5944
50,59,3859.3453
51,59,8392.248
52,59,7249.2597
53,59,10504.1795
54,59,8915.8902
55,59,12399.9706
56,59,10779
57,59,14330
35,60,-13390
36,60,-14872
37,60,-11095.646
38,60,-12053.2361
39,60,-8125.2037
40,60,-9051.4949
41,60,-5730.5011
42,60,-7262.6008
43,60,-3649.5889
44,60,-5596.7945
45,60,-1916.7271
46,60,-3544.8865
47,60,-34.0458
48,60,-1645.6311
49,60,2014.8047
50,60,627.9769
51,60,5101.834
52,60,4031.455
53,60,7227.521
54,60,5553.036
55,60,8957
56,60,7663
57,60,11187
36,61,-13423
37,61,-10249
38,61,-11397.3767
39,61,-7503.7365
40,61,-8106.2003
41,61,-4716.838
42,61,-5925.6639
43,61,-2155.2212
44,61,-3648.2396
45,61,-39.4038
46,61,-1508.9427
47,61,1917.4238
48,61,215.1002
49,61,3878
50,61,2453.4692
51,61,7056.076
52,61,6069.9281
53,61,9250.7417
54,61,7681.0475
55,61,11004
56,61,9035.1943
57,61,12580
58,61,11199
36,62,-16070
37,62,-12721
38,62,-13551.6204
39,62,-9729.8721
40,62,-10408.7856
41,62,-7219.674
42,62,-8532.7512
43,62,-4955.5157
44,62,-6547
45,62,-3001.1457
46,62,-4493.0596
47,62,-1112.9469
48,62,-2890.6633
49,62,860.1972
50,62,-664.9224
51,62,3911.1637
52,62,2606.9398
53,62,5724.9628
54,62,4373.7764
55,62,7692.2462
56,62,6210
57,62,9570
58,62,7840
59,62,11139
37,63,-11796
38,63,-12757.4969
39,63,-9013.3301
40,63,-9351.96
41,63,-6093.3367
42,63,-7415.2411
43,63,-3648.2494
44,63,-5112.5985
45,63,-1369.7517
46,63,-2607.2327
47,63,873.5982
48,63,-1036.8
49,63,2584.7306
50,63,1038.9941
51,63,6063.1189
52,63,4940.6447
53,63,7843.1388
54,63,6253.2213
55,63,9669.6905
56,63,7714.9651
57,63,11319
58,63,9500
59,63,13094
37,64,-13987
38,64,-14906.9991
39,64,-11177
40,64,-11638
41,64,-8457.2728
42,64,-9925.3249
43,64,-6204.9921
44,64,-7738.5736
45,64,-4260.7958
46,64,-5502.2116
47,64,-2229.5607
48,64,-3991.1283
49,64,-323.837
50,64,-1989.9281
51,64,3030.4336
52,64,1558.2272
53,64,4656.9321
54,64,2891.9893
55,64,6489.4269
56,64,5000
57,64,8555
58,64,6669
59,64,10056
60,64,8321
38,65,-14120
39,65,-10320
40,65,-10888
41,65,-7453
42,65,-8821.1703
43,65,-5173.533
44,65,-6455.6267
45,65,-2756.0638
46,65,-3682.0153
47,65,-262.6897
48,65,-2016.4615
49,65,1445.1268
50,65,-497.4892
51,65,4703.9591
52,65,3544.0634
53,65,6719.7015
54,65,4983.2433
55,65,8283.7857
56,65,6357.4948
57,65,10066
58,65,8365
59,65,11765
60,65,10001
61,65,13631
38,66,-16310
39,66,-12380
40,66,-12959
41,66,-9704
42,66,-11204.0998
43,66,-7623.5438
44,66,-9038.0654
45,66,-5518.5456
46,66,-6589.9874
47,66,-3436.3252
48,66,-5084.1233
49,66,-1451.8768
50,66,-3276.2204
51,66,1758.1788
52,66,305.4459
53,66,3404.808
54,66,1574.726
55,66,5378.6549
56,66,3535.817
57,66,7004
58,66,5343
59,66,8587
60,66,6943
61,66,10600
62,66,9070
39,67,-11490
40,67,-12050
41,67,-8595
42,67,-9969.4851
43,67,-6498.7491
44,67,-7760.65
45,67,-4100.179
46,67,-4823.5559
47,67,-1440.4642
48,67,-3101.893
49,67,462.7305
50,67,-1454.7073
51,67,3656.6393
52,67,2293
53,67,5615
54,67,3764.6525
55,67,7210.2195
56,67,5388.6934
57,67,8831.1685
58,67,7102
59,67,10497
60,67,8633
61,67,12311
62,67,10850
63,67,14187
39,68,-13720
40,68,-14170
41,68,-10960
42,68,-12225.9002
43,68,-9084.862
44,68,-10371.9409
45,68,-6899.1276
46,68,-7780.0712
47,68,-4556.7647
48,68,-6169.8248
49,68,-2524.6381
50,68,-4424.6664
51,68,589.4452
52,68,-945.0271
53,68,2297.4615
54,68,724.2937
55,68,4204.6012
56,68,2651.2748
57,68,5909.4836
58,68,4152.9106
59,68,7436
60,68,5800
61,68,9195
62,68,7770
63,68,10816
40,69,-13250
41,69,-10090
42,69,-10980
43,69,-7779
44,69,-9056.2674
45,69,-5489.0622
46,69,-6196.5938
47,69,-2711.6378
48,69,-4236.479
49,69,-526.5277
50,69,-2366.3263
51,69,2680.6076
52,69,1056.0462
53,69,4234
54,69,2694.3302
55,69,5926.3445
56,69,4420.7663
57,69,7696.4376
58,69,5916.7727
59,69,9203.1617
60,69,7399
61,69,11127
62,69,9490
63,69,12939
64,69,11176
41,70,-12480
42,70,-13410
43,70,-10162
44,70,-11620.919
45,70,-8123.9327
46,70,-9095.2839
47,70,-5758.0284
48,70,-7147.8469
49,70,-3721.7197
50,70,-5370
51,70,-402.5306
52,70,-1979.0772
53,70,1228.3898
54,70,-302.8501
55,70,3109.6184
56,70,1680.7697
57,70,4921.8386
58,70,3091.5136
59,70,6513.9383
60,70,4579.225
61,70,7998
62,70,6488
63,70,9995
64,70,8271
65,70,11197
41,71,-11650
42,71,-12440
43,71,-8920
44,71,-10309
45,71,-6666.8252
46,71,-7527.1313
47,71,-4165.4444
48,71,-5331.1799
49,71,-1770.3754
50,71,-3362.0331
51,71,1605.7483
52,71,51.9128
53,71,3159.587
54,71,1636.6632
55,71,4795.7039
56,71,3422.0719
57,71,6743.7167
58,71,5036.037
59,71,8247.4488
60,71,6532.6235
61,71,9798
62,71,8177
63,71,11576
64,71,9898
65,71,13190
41,72,-13870
42,72,-14720
43,72,-11247
44,72,-12855
45,72,-9406.8875
46,72,-10501.5182
47,72,-7238.4816
48,72,-8305.8535
49,72,-4760.7564
50,72,-6368.5921
51,72,-1408.2079
52,72,-2905.073
53,72,185.77
54,72,-1235.8904
55,72,2080.8562
56,72,562.6171
57,72,3737.3247
58,72,2204.4611
59,72,5407.7842
60,72,3801.6487
61,72,6924.7272
62,72,5388
63,72,8709
64,72,7154
65,72,10246
66,72,8669
42,73,-13670
43,73,-10003
44,73,-11350
45,73,-7887
46,73,-8584.4751
47,73,-5371.9076
48,73,-6671.0057
49,73,-2958.9765
50,73,-4385.6489
51,73,612.4067
52,73,-766.7
53,73,2153.6712
54,73,662.3336
55,73,3928.7617
56,73,2438.1843
57,73,5629.4021
58,73,4060.8167
59,73,7241.224
60,73,5605.2112
61,73,8882.5343
62,73,7205.1069
63,73,10567
64,73,8932
65,73,12059
66,73,10430
67,73,13513
42,74,-15980
43,74,-12450
44,74,-13710
45,74,-10743
46,74,-11660
47,74,-8220.4934
48,74,-9506.2662
49,74,-6014.8503
50,74,-7363.697
51,74,-2361.4366
52,74,-3671.0321
53,74,-702.7199
54,74,-2122.5041
55,74,1197.0197
56,74,-357.0219
57,74,2909.6936
58,74,1254.8898
59,74,4480.6319
60,74,2881.5569
61,74,6151.2907
62,74,4359.0237
63,74,7845.7518
64,74,6090
65,74,9501
66,74,7652
67,74,11018
68,74,9321
43,75,-10920
44,75,-11910
45,75,-8899
46,75,-9932.203
47,75,-6489.9492
48,75,-7845.6026
49,75,-4168.342
50,75,-5481.3495
51,75,-378
52,75,-1582.203
53,75,1255.7634
54,75,-188.8936
55,75,2980.7199
56,75,1376.6158
57,75,4711.3256
58,75,3076.1685
59,75,6304.8987
60,75,4722.2522
61,75,8029.3747
62,75,6081.2029
63,75,9748.0968
64,75,7767
65,75,11300
66,75,9158
67,75,12869
68,75,10887
69,75,14448
43,76,-13590
44,76,-14720
45,76,-11630
46,76,-12737
47,76,-9138.8323
48,76,-10469.4858
49,76,-7064.2177
50,76,-8205.7585
51,76,-3228.716
52,76,-4363.9419
53,76,-1502.2919
54,76,-2944.2864
55,76,358.0009
56,76,-1282.2099
57,76,2059.1203
58,76,385.7605
59,76,3680.4357
60,76,2141.1234
61,76,5511.1108
62,76,3416.5976
63,76,6982.1777
64,76,5203.6675
65,76,8683.388
66,76,6440
67,76,10121
68,76,8002
69,76,11657
44,77,-13080
45,77,-10099
46,77,-11239
47,77,-7830
48,77,-8828.1511
49,77,-5553.65
50,77,-6589.681
51,77,-1268.4219
52,77,-2375.5
53,77,416.7716
54,77,-970.8477
55,77,2126.2813
56,77,517.431
57,77,3731.3434
58,77,2027.1499
59,77,5168.129
60,77,3617.8447
61,77,7102.8119
62,77,5120.7993
63,77,8470
64,77,6701.4161
65,77,10400
66,77,8250.2433
67,77,11960.5706
68,77,9880
69,77,13267
44,78,-15475
45,78,-12640
46,78,-13690
47,78,-10560
48,78,-11535
49,78,-8138.6978
50,78,-9171.3131
51,78,-4038.7874
52,78,-5067.2728
53,78,-2231.7057
54,78,-3575.4729
55,78,-427.36
56,78,-2058.8368
57,78,1207.1973
58,78,-471.0621
59,78,2716.9515
60,78,1111.6847
61,78,4515.9014
62,78,2756.101
63,78,6008.3127
64,78,4349.4074
65,78,7812.1185
66,78,5798.0965
67,78,9122.4943
68,78,6916.2074
69,78,10633.4071
70,78,8535
45,79,-11120
46,79,-12130
47,79,-8930
48,79,-10092
49,79,-6951.8716
50,79,-7755.7081
51,79,-2153.4702
52,79,-3229.6099
53,79,-515.3046
54,79,-1786.2812
55,79,1234.6691
56,79,-268.6983
57,79,2849.5915
58,79,1222.1
59,79,4437
60,79,2811.7226
61,79,6045.2
62,79,4588.9724
63,79,7673
64,79,6010
65,79,9391.3235
66,79,8157.0853
67,79,11316.7007
68,79,9149.2869
69,79,12713.963
70,79,10611
71,79,14059
45,80,-13460
46,80,-14590
47,80,-11429
48,80,-12528
49,80,-9712.7471
50,80,-10225.687
51,80,-4716.8328
52,80,-5552.9155
53,80,-2920.169
54,80,-4082.3946
55,80,-1168.5917
56,80,-2548.2241
57,80,580.5356
58,80,-1052.4585
59,80,2129.089
60,80,428.9806
61,80,3668.5879
62,80,2159.6062
63,80,5275.824
64,80,3859.6633
65,80,6526.9329
66,80,5208.7165
67,80,8438.946
68,80,6512.1694
69,80,9801
70,80,7661
71,80,11242
46,81,-13490
47,81,-10320
48,81,-11252
49,81,-8788.9322
50,81,-9240.2095
51,81,-3088.728
52,81,-4013.6198
53,81,-1509.6875
54,81,-2634.1851
55,81,90.3151
56,81,-1175.6285
57,81,1748.3977
58,81,264.6396
59,81,3388
60,81,1823.0137
61,81,4808.5196
62,81,3443.5291
63,81,6346.4515
64,81,5064.8984
65,81,8322.1791
66,81,6546.6266
67,81,9868.2304
68,81,7904.2328
69,81,11340
70,81,9229.2615
71,81,12848
72,81,11075
46,82,-17050
47,82,-13990
48,82,-15220
49,82,-12812.6089
50,82,-14135
51,82,-8049.6228
52,82,-8514.7483
53,82,-6050.3894
54,82,-6883.9455
55,82,-4162.3582
56,82,-5374.7776
57,82,-2308.4632
58,82,-3762.1676
59,82,-583.4758
60,82,-2163.6885
61,82,1041.6463
62,82,-549.5096
63,82,2659.8832
64,82,1031.7798
65,82,4614.2543
66,82,2677.5501
67,82,6048.1366
68,82,4114.5689
69,82,7494.6768
70,82,5449.8923
71,82,8784
72,82,6937
73,82,10322
47,83,-13168
48,83,-14462
49,83,-11946.1243
50,83,-13184
51,83,-7585.2453
52,83,-8038.4581
53,83,-5119.9455
54,83,-6027.1455
55,83,-2914.7839
56,83,-4212.8293
57,83,-1044.1542
58,83,-2501.2141
59,83,746.5288
60,83,-934.1107
61,83,2331.9117
62,83,616.099
63,83,3878.7573
64,83,2187.6833
65,83,5732.4723
66,83,3794.6493
67,83,7363.7264
68,83,5356.4558
69,83,8779.9397
70,83,6813
71,83,10265
72,83,8235
73,83,11819
74,83,9906
47,84,-15010
48,84,-16065
49,84,-13550
50,84,-14464
51,84,-9058.08
52,84,-9918.3897
53,84,-7052.5063
54,84,-7992.3346
55,84,-5056.5023
56,84,-6218.1669
57,84,-3197.3515
58,84,-4508.9455
59,84,-1461.8214
60,84,-2997.44
61,84,164.4982
62,84,-1542
63,84,1721.4367
64,84,28.063
65,84,3638.5336
66,84,1796.1707
67,84,5129.6421
68,84,3104.4174
69,84,6494.0723
70,84,4495.0495
71,84,7957.5578
72,84,5880.0352
73,84,9259
74,84,7426
75,84,10629
48,85,-15059
49,85,-12510
50,85,-13522
51,85,-8337
52,85,-9243.3698
53,85,-6283.9149
54,85,-7173.6224
55,85,-4063.2768
56,85,-5255.141
57,85,-2181.6932
58,85,-3434.9108
59,85,-318.6462
60,85,-1806.014
61,85,1471.556
62,85,-224.0638
63,85,3038.5844
64,85,1314.1437
65,85,4658.2621
66,85,2871.1525
67,85,6513.3275
68,85,4545.3918
69,85,8177.8316
70,85,6123.3072
71,85,9565.988
72,85,7585
73,85,10984
74,85,9005
75,85,12451
76,85,10647
49,86,-14290
50,86,-15200
51,86,-9911
52,86,-11046
53,86,-8265.8835
54,86,-9380.2388
55,86,-6280.0423
56,86,-7327.7007
57,86,-4234.2623
58,86,-5582.2823
59,86,-2558.9318
60,86,-4252.43
61,86,-895.1896
62,86,-2470.1898
63,86,694.5812
64,86,-971.6815
65,86,2565.3796
66,86,599.3405
67,86,4131.1229
68,86,2034.4045
69,86,5583.2509
70,86,3568.8794
71,86,6980.0942
72,86,5109.801
73,86,8413.4492
74,86,6494.6267
75,86,9664
76,86,7953
77,86,11026
50,87,-14320
