z,n,positronEmission(keV)
32,48,-11333.637499999999
33,48,-7263.6167000000005
34,48,-8510.4655
35,48,-4695.1758
36,48,-5678.2488
37,48,-1708.9978
38,48,-2798.095
39,48,839.6916
40,48,-351.8429
41,48,3230.2213
42,48,1467.0187
43,48,5200.179
44,48,3602.4943999999996
45,48,7182.9158
46,48,5783.345
47,48,9038.0022
48,48,7918.0022
49,48,12322.0022
27,49,-16091.9978
28,49,-16461.9978
29,49,-10931.9978
30,49,-12046.260699999999
31,49,-8597.0531
32,49,-9685.7313
33,49,-5712.3501
34,49,-6693.2095
35,49,-2857.3616
36,49,-3926.86
37,49,-503.32439999999997
38,49,-1304.2727
39,49,2600.6022
40,49,1811.2307
41,49,5089.0187
42,49,3407.1956
43,49,6860.8863
44,49,5367.3951
45,49,8653.9811
46,49,7352.7056999999995
47,49,10649.776300000001
48,49,9148.0022
49,49,12708.0022
50,49,12378.0022
28,50,-20581.9978
29,50,-15269.9978
30,50,-15990.9978
31,50,-12450.2902
32,50,-13506.3475
33,50,-9714.8871
34,50,-11116.160199999998
35,50,-7183.8313
36,50,-8655.4125
37,50,-4910.2684
38,50,-6334.6221000000005
39,50,-2524.1735
40,50,-3297.6328000000003
41,50,235.5666
42,50,-1377.2946
43,50,2178.9651
44,50,552.7317999999999
45,50,4095.1445000000003
46,50,2482.3149
47,50,5879.8277
48,50,4408.0022
49,50,7533.0022
50,50,6008.0022
29,51,-14461.9978
30,51,-15310.9978
31,51,-11638.762999999999
32,51,-12741.311399999999
33,51,-8727.1307
34,51,-10246.490699999998
35,51,-6151.0838
36,51,-7839.8433
37,51,-3939.7068
38,51,-5518.6256
39,51,-1567.9652
40,51,-2566.2688
41,51,983.7357000000001
42,51,-616.2369
43,51,3233.7497999999996
44,51,1541.5983
45,51,5370.6551
46,51,3769.714
47,51,7232.5629
48,51,5759.3533
49,51,8994.4514
50,51,7217.2792
51,51,12813.0022
29,52,-16841.9978
30,52,-17605.9978
31,52,-13988.9978
32,52,-15076.296699999999
33,52,-11087.7231
34,52,-12563.0234
35,52,-8487.5504
36,52,-9997.326
37,52,-6198.602
38,52,-7607.3699
39,52,-3721.3692
40,52,-4664.5271999999995
41,52,-1112.8101
42,52,-3067.0141
43,52,668.5197
44,52,-1280.7347
45,52,2501.0022
46,52,832.2352999999999
47,52,4448.3807
48,52,2921.3761999999997
49,52,6269.5664
50,52,4738.0022
51,52,9400.0022
52,52,8646.0022
29,53,-16031.9978
30,53,-16921.9978
31,53,-13285.9978
32,53,-14401.365699999998
33,53,-10584.2207
34,53,-11830.216999999999
35,53,-7853.7618
36,53,-9283.5209
37,53,-5428.3111
38,53,-6928.8988
39,53,-2971.1215
40,53,-3916.8701
41,53,-121.72939999999994
42,53,-1947.5987
43,53,1951.2433
44,53,81.87440000000004
45,53,4027.6551
46,53,2379.6625
47,53,6052.7052
48,53,4475.9208
49,53,7942.808099999999
50,53,6518.0022
51,53,11310.0022
52,53,10181.9847
53,53,13898.0022
30,54,-19131.9978
31,54,-15665.9978
32,54,-16661.9978
33,54,-13049.9978
34,54,-14455.9978
35,54,-10303.870799999999
36,54,-11980.951099999998
37,54,-7793.0726
38,54,-9116.919
39,54,-5163.3096000000005
40,54,-5939.8567
41,54,-2148.329
42,54,-4214.0568
43,54,-701.7338
44,54,-2814.6553
45,54,1018.8654
46,54,-643.5400999999999
47,54,3075.7627999999995
48,54,1565.0022
49,54,4997.2315
50,54,3533.6196
51,54,8300.5125
52,54,7231.544499999999
53,54,10205.0022
54,54,9117.0022
31,55,-14720.9978
32,55,-15741.9978
33,55,-11951.9978
34,55,-13483.9978
35,55,-9222.081199999999
36,55,-10888.670199999999
37,55,-7025.1188
38,55,-8487.9412
39,55,-4527.7495
40,55,-5474.0009
41,55,-1185.9682
42,55,-2963.9016
43,55,661.7686
44,55,-1319.5134
45,55,2614.2634
46,55,958.2855000000001
47,55,4634.2636999999995
48,55,3129.0783
49,55,6763.7188
50,55,5280.5829
51,55,9858.3986
52,55,8974.0022
53,55,11989.0022
54,55,10480.9611
32,56,-18150.9978
33,56,-14511.9978
34,56,-15831.9978
35,56,-11549.169399999999
36,56,-13558.5139
37,56,-9505.895499999999
38,56,-11304.9275
39,56,-7112.6506
40,56,-8130.8719
41,56,-3688.1016
42,56,-5613.3659
43,56,-2379.7608999999998
44,56,-4228.4379
45,56,-476.31319999999994
46,56,-2141.6448
47,56,1632.2799999999997
48,56,126.08090000000004
49,56,3671.2695000000003
50,56,2232.4543
51,56,6836.9925
52,56,5641.6668
53,56,9020.8963
54,56,7523.2097
55,56,10598.0022
33,57,-13541.9978
34,57,-15101.9978
35,57,-10530.9978
36,57,-12267.765099999999
37,57,-8237.0092
38,57,-10248.974999999999
39,57,-6433.7358
40,57,-7843.236
41,57,-3264.8525
42,57,-4656.7600999999995
43,57,-849.9202
44,57,-2635.5178
45,57,1301.1209
46,57,-447.2726
47,57,3256.6551
48,57,1715.0011
49,57,5502.0053
50,57,4032.4303
51,57,8602.610100000002
52,57,7513.589300000001
53,57,10739.9788
54,57,9412.0022
55,57,12590.0022
56,57,11033.0022
34,58,-17365.9978
35,58,-13051.9978
36,58,-14719.9978
37,58,-10753.3846
38,58,-12585.8948
39,58,-8556.7785
40,58,-10015.007599999999
41,58,-5740.6714
42,58,-7423.7807
43,58,-3846.6389
44,58,-5555.5112
45,58,-1786.5356
46,58,-3457.7767
47,58,325.05859999999996
48,58,-1211.7512
49,58,2401.6608
50,58,1027.8815999999997
51,58,5357.1962
52,58,4197.9262
53,58,7611.694399999999
54,58,6014.9932
55,58,9417.089800000002
56,58,7758.4937
35,59,-11867.9978
36,59,-13330.9978
37,59,-9294.667099999999
38,59,-11083.5273
39,59,-6888.3569
40,59,-7994.9376
41,59,-4440.5076
42,59,-5650.4615
43,59,-2034.0535
44,59,-3685.2452000000003
45,59,114.42169999999999
46,59,-1588.6325
47,59,1943.1455999999998
48,59,394.3763
49,59,4110.5966
50,59,2837.3475
51,59,7370.2501999999995
52,59,6227.2618999999995
53,59,9482.181700000001
54,59,7893.8924
55,59,11377.972800000001
56,59,9757.0022
57,59,13308.0022
35,60,-14411.9978
36,60,-15893.9978
37,60,-12117.6438
38,60,-13075.2339
39,60,-9147.2015
40,60,-10073.492699999999
41,60,-6752.4989000000005
42,60,-8284.5986
43,60,-4671.5867
44,60,-6618.7923
45,60,-2938.7249
46,60,-4566.8843
47,60,-1056.0436
48,60,-2667.6289
49,60,992.8068999999999
50,60,-394.0209
51,60,4079.8361999999997
52,60,3009.4572
53,60,6205.5232
54,60,4531.0382
55,60,7935.0022
56,60,6641.0022
57,60,10165.0022
36,61,-14444.9978
37,61,-11270.9978
38,61,-12419.3745
39,61,-8525.7343
40,61,-9128.1981
41,61,-5738.8358
42,61,-6947.6617
43,61,-3177.219
44,61,-4670.2374
45,61,-1061.4016
46,61,-2530.9405
47,61,895.426
48,61,-806.8976
49,61,2856.0022
50,61,1431.4714
51,61,6034.0782
52,61,5047.9303
53,61,8228.743900000001
54,61,6659.0497
55,61,9982.0022
56,61,8013.196499999999
57,61,11558.0022
58,61,10177.0022
36,62,-17091.9978
37,62,-13742.9978
38,62,-14573.618199999999
39,62,-10751.8699
40,62,-11430.783399999998
41,62,-8241.6718
42,62,-9554.749
43,62,-5977.5135
44,62,-7568.9978
45,62,-4023.1435
46,62,-5515.0574
47,62,-2134.9447
48,62,-3912.6611000000003
49,62,-161.80060000000003
50,62,-1686.9202
51,62,2889.1659
52,62,1584.942
53,62,4702.965
54,62,3351.7785999999996
55,62,6670.2483999999995
56,62,5188.0022
57,62,8548.0022
58,62,6818.0022
59,62,10117.0022
37,63,-12817.9978
38,63,-13779.4947
39,63,-10035.327899999998
40,63,-10373.957799999998
41,63,-7115.3345
42,63,-8437.2389
43,63,-4670.2472
44,63,-6134.5963
45,63,-2391.7495
46,63,-3629.2305
47,63,-148.39959999999996
48,63,-2058.7978
49,63,1562.7327999999998
50,63,16.996299999999906
51,63,5041.1211
52,63,3918.6468999999997
53,63,6821.141
54,63,5231.2235
55,63,8647.692700000001
56,63,6692.9673
57,63,10297.0022
58,63,8478.0022
59,63,12072.0022
37,64,-15008.9978
38,64,-15928.9969
39,64,-12198.9978
40,64,-12659.9978
41,64,-9479.2706
42,64,-10947.322699999999
43,64,-7226.9899000000005
44,64,-8760.571399999999
45,64,-5282.7936
46,64,-6524.2094
47,64,-3251.5585
48,64,-5013.1260999999995
49,64,-1345.8348
50,64,-3011.9259
51,64,2008.4357999999997
52,64,536.2294
53,64,3634.9343
54,64,1869.9915
55,64,5467.4291
56,64,3978.0022
57,64,7533.0022
58,64,5647.0022
59,64,9034.0022
60,64,7299.0022
38,65,-15141.9978
39,65,-11341.9978
40,65,-11909.9978
41,65,-8474.9978
42,65,-9843.168099999999
43,65,-6195.5308
44,65,-7477.6245
45,65,-3778.0616
46,65,-4704.0131
47,65,-1284.6875
48,65,-3038.4593
49,65,423.129
50,65,-1519.487
51,65,3681.9613
52,65,2522.0656
53,65,5697.7037
54,65,3961.2455
55,65,7261.7879
56,65,5335.497
57,65,9044.0022
58,65,7343.0022
59,65,10743.0022
60,65,8979.0022
61,65,12609.0022
38,66,-17331.9978
39,66,-13401.9978
40,66,-13980.9978
